3zzf NLG
1jrs 3-mer
1nzv 8-mer
1rth U05
1t2v 16-mer
1upk 12-mer
1usk LEU
1yvm TMG
1z2b VLB
2a4l RRC
2ai7 SB7
2c1b CQP
2cmo M1L
2g9q 1AB
2jbk QUS
2n9x 17-mer
2nno M28
2o2u 738
2qqs 10-mer
2waj SNB
2y8c DUQ
2zaz GK1
2zdl 45U
3arq DM5
3dz4 C8M
3jq9 AX1
3k1j ADP
3kmc 403
3ll8 11-mer
3lw0 CCX
3o3j BB4
3pn3 PN3
3rsb GTP
3s72 EVE
3sfi 3SF
3szm 10-mer
3tf6 DBH
3zll 4WF
3zs1 PVW
4afj SJJ
4c7t 5RI
4cff C1V
4cga QLW
4dpf 0LG
4e26 734
4eu0 C2E
4ff8 14S
4hcv 13J
4je7 BB2
4jj7 6-mer
4m3b 2B2
4mbc 28G
4mss 2CZ
4o3u 15-mer
4p00 C2E
4p02 C2E
4pax NU1
4pmp 31W
4qnu GEK
4qtc 38Z
4r1y 3EH
4rse A6V
4u79 3EL
4whl 5-mer
4x1r 10-mer
4xbd M40
4xy8 43U
4yv9 11-mer
4zxy 4T1
5a4e 7QQ
5c5h 4YB
5dgm 59Z
5e0l 14-mer
5f1u 3VN
5g61 FNY
5hh6 60N
5hz8 65Z
5iuh 34Y
5l8y CVA
5l9h CVL
5nsx 97K
5ovg AWZ
5tex 7AU
5uk8 8DV
5ura 8KS
5v24 8V7
5vqv 9J1
5wa7 KU4
5wdc G2K
6bny E0M
6coj F8G
6dzv HJM
6f92 MVL
6fel 8-mer
6g5u ENN
6gvz CHO
6idb 3-mer
6npu KWV
6o9b 9-mer
6oa3 M0M
6qw8 MK7
6rj3 K58
1i80 9HX
1pye PM1
1syh CPW
1xor ZAR
2cgf P2N
2oj9 BMI
2qki 13-mer
2qnp QN2
2wmw ZYW
2xxn 15-mer
2xxw GLU
2xxx GLU
2zdm 46U
3k5x P8D
3mxy 9-mer
3r17 5UM
4b5b BBE
4j0r 1H2
4jq7 KJQ
4o1b DGB
4o2f 8-mer
4zuo XS6
5c20 GHZ
5cvd 9-mer
5dxe 13-mer
5ihh 6B5
5jxn 6NN
5u7j 7XV
5v79 8Y4
5wbz A4J
5wre 7TL
6ar2 10-mer
6hk6 G8H
6i65 H3Z
6i8l H7Q
6pfj C2E
6py0 RTL
1o5a 696
1r17 16-mer
1thl 0DB
1tl1 H18
1w0y 771
2fw3 BUI
2j78 GOX
2jle I15
2y36 12-mer
3d2e ATP
3is9 AC7
3rkb 12Z
4i5p 1D1
4itj 1HX
4j0s 1H3
4m5o X48
4ufh GIF
4wnk 453
4x1n 10-mer
4zyc 4SS
5k4x 6Q9
5mm9 8SH
5ugg 89M
5x62 SAH
6eiq B6Z
6ft3 E5T
6fzp 14-mer
6hvi GV5
6j1l B6L
6s9x L1W
1fh9 2-mer
1n7j IDI
1nax IH5
1t46 STI
2b07 598
2bzz AP5
2cia 11-mer
2fqo HYI
2ivu ZD6
2q94 A04
2xch CKG
3ask 13-mer
3q4c RSW
3v3l V3L
4cik XO3
4d3h 2BA
4deb NHJ
4ge1 TSS
4m8t RMM
4nh9 2LC
4q4r SQO
4wsk 3U2
4z2j M6G
5w8j 9Y7
5yy4 9-mer
6c5h PSBP
6eeo J6V
6eo0 BVT
6eqs BV8
6g9u ETK
6m8q JBG
6mhc JRM
6n5c KDJ
6rtw Y01
6uii SS9
1j4q 13-mer
1jqe QUN
1qti GNT
1svh I08
2jh5 895
2m0u 5-mer
2pvm P29
2vqj TFG
2xnp WCX
2y59 ZA3
3d7m GDP
3ffu GTP
3pfp 035-036
3s9y FNU
3wyj H78
3zmq 10-mer
4da5 0H7
4ea1 3RX
4ea2 RWZ
4fmu 0UM
4jfk JFK
4jfx 12-mer
4jg6 1LB
4l2k 1V8
4os6 14-mer
4oya 1VE
4pde GDP
4q3u NNH
4qaa KK1
4tjy 3GN
4wz4 3VU
5al2 O53
5fdo 5X2
5ivy 6EO
5ny1 9E5
5vfd 9CM
5w44 GY6
5w84 9YY
5wbl 16-mer
5wef GY6
6dqa H6V
6e5s RET
6ekd B9K
6hqy GKW
6qr3 JE8
3d32 12-mer
3qw5 5-mer
4kwo 1UD
5fut PQ7
5jss 6NG
5m7m 7HR
5uwm 8OA
5ye9 8U6
6n5h AUB
6oht MKM
1gt3 DHM
1m2r MNY
1q4w DQU
1r5y DQU
1ro6 ROL
1w2k 380
1wbn L09
2c6m DT5
2ohv NHL
2vwu 7X1
2xd9 XD9
2xdx WOE
2y4m GDX
3anr HRM
3i6m G3X
3kdu NKS
3o8p BMU
3pd8 HA7
3tnh F18
3zy2 GDP
4dgn LU2
4hyb 11-mer
4m0y M0Y
4n07 2J9
4w4y 3HQ
4x2i 3X0
4ymh SAH
5ap4 O38
5dbm 58N
5efj 4-mer
5fl0 71I
5hka 64N
5iwg IWX
5ndd 8TZ
5o91 C5N
5uc4 83S
5vb5 92A
5w4e 16-mer
6epy RAF
6qi7 PLM
7abp FCA/FCB
1aqj SFG
1bxl 16-mer
1j01 XIL
1o9k 18-mer
1wbt WBT
2o64 MYU
2xu4 DJT
3cm2 X23
3gcq 1BU
3s78 EVJ
3tfp 03L
3zh8 C58
4aft QMR
4fea 0TE
4ju4 1O3
4jzb P2H
4mhy PBD
4mq6 29W
4psx 15-mer
4rd3 GDP
4uv8 D69
4zhl 10-mer
4zji 4OQ
5ai1 EQU
5c11 10-mer
5cgv 0N8
5he5 60S
5j8u 6DL
5mes 7LT
5nsp 97E
5y21 14-mer
6b4l CJY
6d8e FZP
6ilz AFU
6np3 LLL
6ntj LLL
6pxc 14-mer
6qzb JLK
1c50 CHI
1f4g TP4
1gpn HUB
1q9m ROL
1rpj ALL
2f89 210
2hz0 GIN
2nqg NQG
2oz5 7XY
2q2n H01
2w6p OA4
2w71 L23
2wnj ZY7
2x24 X24
2y5l RO8
3cph GDP
3g3r ANP
3gsm VPU
3ieo AMJ
3nc9 TR3
3ogx H1S
3p3u 3M4
4e67 8-mer
4kon SIA-GAL
4mg8 27J
4n7e 2JQ
4nat 2W5
4pvv HO4
4q0a 4OA
4q3t HAR
4yoi 4F4
5etq YH2
5fq9 C6S
5gic DLC
5may PK6
5mfs 7ML
5wgq 13-mer
5yve AF9
5yyf 7-mer
6a73 3.2.1.17
6bx6 EDJ
6e7v T88
6ek3 OUL
6fe0 V90
6hvr GRW
6ql1 V50
1dl7 NCH
1fsw CTB
1ru2 APC
1s4d SAH
1x11 14-mer
2h02 2UN
2qf6 A56
2ygu HP6
3ara MKH
3bft S2P
3bum 13-mer
3h0j B36
3mho J43
3mj5 GRM
3muf S3P
3nw3 MU2
3qar QAR
3qel QEL
3s0b FNA
3u6a 18P
3u8h BHP
3wut 14-mer
4brx KGW
4d8s 0HX
4eoy 8-mer
4gv8 DUP
4hw3 19G
4mwb 2EK
4v11 10-mer
4yee 4CQ
4z68 12-mer
5ar7 SR8
5cu4 54S
5h19 LQF
5i2f BS5
5nw2 9B8
5nxq 19-mer
5oq7 A0Q
5tuo 1SA
5vd0 8X7
5vnd 9ES
5xhz 11-mer
6dqb HZM
6fky 8-mer
6fpu E48
6ftw E6Z
6hv5 GQH
6q54 HJ8
6qz6 JLE
6qz7 JLE
1xa5 KAR
2g72 F21
2gj4 2TH
2weg FBV
3bwj ARX
3qcs 3Q1
4ith RCM
4kzu A73
4mme 29Q
4mw4 2EB
4oc0 2R7
4qws 3BV
4yxi 4J8
5kew 6SB
5tt8 D8W
6o5t L8J
6rfw K1Q
1h3c R79
1vwf 9-mer
2jdh 3-mer
2jkt 11-mer
2usn IN8
2wtc VGM
2xjj L81
2y56 V11
3cj4 SX5
3gds 10-mer
3hf8 ML0
3hv4 L51
3k5u PFQ
3r93 15-mer
3wmc NF6
4bo9 3X3
4e3o 0NG
4fut ATP
4hlg 20B
4nka 2K7
4zbi 4M6
5fdp 5WR
5j31 10-mer
5jvi 6QC
5kqf 6WD
5lgt 6W3
5t8o 76Z
6bix 13-mer
6faf D3B
6idz 3-mer
6if0 A59
6nyv LBD
1alw ISA
1ct8 TAA
1esz CPO
1g74 OLA
1gt4 UNA
1h28 11-mer
1j80 15-mer
1k3q 13-mer
1k9s FM2
1m21 4-mer
1mqh BWD
1qy1 PRZ
1rsd PSB
1w1d 4IP
1zhy CLR
2f9b N1H
2fx8 12-mer
2gz7 D3F
2h4g 694
2ima GB4
2jql 10-mer
2nn7 M29
2nt7 902
2ntf OHM
2o4h AS9
2off OFF
2oxy K17
2pfy PCA
2rc8 DSN
2v3e NND
2vev IZ2
2w0p 15-mer
2w73 17-mer
2x2k X2K
2zft 10U
3bva 2NC
3c10 TSN
3dx3 YTB
3g2v 13-mer
3hio C2X
3hjo EAA
3hzv KDA&KDO
3ljj 10U
3o9p MHI
3p4q OAA
3qkk SMH
3rwf 9-mer
3uo4 0C0
3zm6 2GN
4aig FLX
4bo3 U98
4bqx UN9
4dko 0LM
4dkr 0LJ
4ez5 0RS
4ezo 15-mer
4fiv LP1
4krs 1SX
4loj 1SY
4nj3 2KD
4og5 2S7
4pvt S3C
4qme 37B
4qps 37Q
4r0i 3KM
4rxd RIS
4tzn 16-mer
4tzq 17-mer
4uj1 NVX
4ydq HFG
4zeb AGR
5al4 WLH
5est 0P2
5etr 5RW
5fcw 5YA
5fqb OK3
5g60 NYT
5ien VDY
5kau RHQ
5nw0 9BK
5o7n 9NK
5wap KU9
5wfm KU5
5zia 9-mer
6axk 14-mer
6biv 13-mer
6e7w HXM
6eum BY5
6fbv FI8
6fkp 10-mer
6hx1 GXK
6iez A50
6nkp 13-mer
6o6g LOJ
6ovc N8J
6pek 10-mer
6rj5 K5N
2p7g 2OH
3ama SKE
3wtj TH4
3wtk TH4
4mmf 29Q
4qvl BO2
5a0e 11-mer
5alm 7GM
6kdx D6X
1d3q BT2
1drv A3D
1h39 R03
1hvy D16
1o3l 678
1vyz N5B
1zz3 3YP
2evc FC3
2h21 SAM
2jdk 3-mer
2zfs 12U
2zhd 12U
2zns GLU
3b8z 294
3d0b SNX
3exf TPP
3fuz GLU
3g4k ROL
3hii PNT
3jvs AGY
3mxc 9-mer
3piy 585
3pvu QRW
3sl8 JN7
3sr4 TT8
4a4v YFD
4aqh TB7
4btx WF8
4ht2 V50
4leq 1WK
4p0b 10-mer
4pl3 31J
4ps5 2TA
4pv5 CBW
4rfr RHN
4u90 10-mer
4uac ACR
4uu8 9-mer
4w9k 3JO
5cfa 15-mer
5cqu JRJ
5hk9 64O
5lsy 76M
5n69 2OW
5wdw 8KU
5z5v 96X
5zh2 9CU
6ajh 9ZF
6eeh J4D
6gfs F15
6mo1 I16
6oio ML7
6q8k FG9
6u8o Q1G
1dhj MTX
1h3a R04
1hmr ELA
1hp5 NGT
1n4h REA
1q4k 6-mer
1umw 7-mer
1yc4 43P
1yda AZM
2bok 784
2fgh ATP
2i3v GLU
2n27 4DY
2uw6 GVO
2xxr GLU
3cho 4BG
3s0e EOL
4clb 83T
4frj DWB
4iue AJ4
4k42 NWM
4o9s 2RY
4og3 2S6
4qp8 362
4tkf 33C
4x2s ASP
5cxi 5TW
5he1 ZS2
5he3 FF1
5hyx 13-mer
5ijj I6P
5jaz LC5
5nt0 97H
5ovh AWW
5sym 71Q
5tpx 7H7
5twh 17-mer
5wzs 7W9
5z95 EGC
6aqq BVY
6bnt 15-mer
6bu3 3GK
6e5t HVJ
6e9w J0P
6ea2 J1G
6fzg EDK
2khh 9-mer
2zq2 13U
4db7 Z25
4lbu 1WJ
4lnb ED5
5h5o PCG
5oaj TKT
5u2e 837
5yyb NGE
6df1 3-mer
6f3b CJK
6hmb FXB
6hv0 GUK
6k05 CQF
1ft4 703
1gzv PA5
1sld 6-mer
1ujk 12-mer
1wva S2C
1y2c 3DE
1zub 11-mer
2c6l DT4
2cv3 11-mer
2fqy ADN
2hzl PYR
2lbm 15-mer
2m3z 1HF
2pwc G3G
2r9b 8-mer
3cgf JNF
3cm7 X22
3il6 B83
3lc5 IZX
3ove 5-mer
3qox SAH
3rbm B73
3sax E50
3tfn 2CJ
3wci BH5
4byj FH5
4fs4 H24
4ge5 A89
4jgv T94
4l0i 1UW
4la7 A1O
4mzo 2EW
4nnn ALD
4py2 43E
4x68 OP0
4zum FKS
5aln 5ZM
5c7n BMF
5er2 0EK
5evz ADP
5g1a 7H1
5jnl L54
5lpr 5-mer
5nwk 5-mer
5vcy DB8
6biz 15-mer
6bky K32
6cw8 FGY
6ecz J4D
6hkm G92
6ink AKU
6oiq MLV
6s9c L1K
6te6 N4W
1k1i FD1
2p7z OHT
3pb9 1BN
3sd5 SD5
4cd4 2-mer
5em5 5Q2
5itd 6CY
6sal L3E
1b58 3-mer
1c2t NHS
1c3e NHR
1fiv 5-mer
1hk3 T44
1izi Q50
1mq1 12-mer
1n7i LY1
1qr3 8-mer
2byh 2D7
2e91 ZOL
2pvh P19
2pwr G4G
2v7d 10-mer
2xzq 12-mer
3gs6 NP6
3kah 4DH
3kdt 7HA
3opr SA2
3t8v BTJ
3tl0 10-mer
3uvn 11-mer
3wcl BH3
4bnz 8M5
4dea NHI
4j51 N75
4li0 GDP
4q3s X7A
4qmq 34U
4qnb 1B0
4rn0 L6G
4xas 40H
5akh 6NM
5ddd 59X
5e0a NAG
5ew0 3C7
5gjf 6V4
5jsm 6NB
5kbr IPW
5l4i 6J3
5v3x I28
5vja DUK
6dq8 H6S
6dud HB4
6ea1 J0Y
6fag EON
6hvu GTW
6j06 99C
6n3z KC4
6qwa MK7
1ad8 MDL
1b38 ATP
1d8e 6-mer
1g7g INX
1gwr 12-mer
1jzs MRC
1kwr SG2
1vot HUP
1zpc 716
2a4z BYM
2c5x MTW
2c5y MTW
2euk 3-mer
2f7p 2SK
2gg2 U12
2gg5 U19
2gtk 208
2j4g NB1
2jdp MFU
2wly 2-mer
2xhx T5M
2y77 CB8
3cwk REA
3dgl ATP
3dln GLU
3ejs HN5
3eju HN7
3eyl SMK
3ip6 PRO
3jzp 12-mer
3lxe TOR
3mpt 1GK
3tu1 07G
3v3q TMY
4bib IEO
4bie IE6
4ci1 EF2
4dkq 0LK
4efu EFU
4f08 1RS
4h75 8-mer
4mr5 1K0
4mr6 1K0
4muk 2DV
4oc1 2QS
4pnk KZQ
4qk4 PIK
4qr4 BNK
4wpf 3SN
4x8o AP5
4xii 40V
4ybi 4B2
4zzd RBF
5alk WMR
5f00 5T8
5i88 69G
5igq 11-mer
5j19 15-mer
5k48 S5Z
5l7e 6Q0
5lma 6ZG
5lqf 4SP
5mb1 7KT
5nw1 9BH
5wtt 8-mer
5z7j 36J
6bh5 DNY
6c2y EJS
6ccq EX7
6d5g FVD
6eis B6N
6fvm 6-mer
6g4m DQ5
6hdo FZH
6i17 GZW
6imt AK0
3f7u AG4
3kig DA4
3mo2 E67
3qpo PFR
3rjm 6-mer
4nnw 2MK
4qw3 BO2
5ai9 K78
5o87 NCT
6a8g 12-mer
6cmr 5OD
6d19 YKG
6fsy E5Q
6gfy EXH
6nj0 KOY
1afk PAP
1ii5 GLU
1jd5 10-mer
1kkq 471
1s3k 4-mer
1soj IBM
1tkz H16
1xnz FCD
2cnf F32
2ews ANP
2j7b NTZ
2jgs BTN
2vwc BC2
2vww 7X2
2w0j ZAT
2zb0 GK3
2zq1 11U
3aav A2C
3iu9 T07
3ka2 2NC
3ljo 11U
3m93 M7G
3opm LUI
3ozp OAN
3umx Q18
4btk DTQ
4er1 0ZP
4gfo 0X2
4ixv XA1
4mpn PV0
4rd0 GDP
4txc 38G
4unq H6D
4x8n 10-mer
4y94 IHP
4znx 12-mer
5ejl C2E
5l6h 6O2
5m55 7GG
5mw3 5JT
5o9h 9P2
5op2 A0Q
5q0j 9KV
5syn 71T
5t1l 12-mer
5t37 758
5ugd 89S
5unj 14-mer
5v42 I66
5w10 CMP
5wjj AQY
5yjp 8W6
6e91 J04
6eqv 5-mer
6g38 TBN
6ind AKO
8lpr 5-mer
2exc JNK
2qlq SR2
2x7t WZB
2yfe YFE
3arb FEE
3f8f DM1
3os3 3OS
3wf8 F76
4eyr RIT
4jg1 12-mer
4k77 1Q4
4l0v 1V1
4lyw 21Q
4nw7 2O5
4pv7 CJP
4rsc A3V
4xip 40W
4xrq 1B0
5jt9 7AF
5u2c 82Y
6b97 CZY
6djc CF6
6elp BA8
6ft4 E5W
6jno WY5
6rtn KJK
1lcp PLU
1sln INH
1tmm APC
2b1g 13A
2d3z FIH
2gej GDD
2h96 893
2jdo I5S
2kpl 11-mer
2oi3 14-mer
2srt INH
2wap PIX
2wbd RO5
2wi6 ZZ6
2za0 MGI
3b26 B2L
3cf1 ADP
3eoc T2A
3fee QUS
3g76 CZ3
3zy5 GFB
4cc6 L5Y
4e8z IHC
4io8 3FD
4jit 3ZF
4rxe 3YQ
5abp GLA/GLB
5i2e 67D
5iz6 9-mer
5jap 6HZ
5jat 6HR
5ko1 6UY
5l3j 6G9
5lcj 6TS
5nk8 90Z
5nu3 99E
5ul1 8DY
5y8w 8PU
6czv FOY
6d4v FWM
6dxx WTF
6jij 6-mer
6nsx 6-mer
6nyw L8M
6qw9 MK7
6saf L2Q
2j75 NOY
2pre E64
3eio AJH
3mzc S6I
3zpr 3WC
4hww X7A
4yha MZM
6cwn 6LA
6guf 23D
1a4r GNH
1cps CPM
1elc 0Z3
1h3h 11-mer
1o3p 655
1pxp CK8
1wur 8DG
2c5n CK8
2c8x C5M
2j7w GTP
2v5x V5X
2vx1 7X8
2xj7 GC2
2y5k YCU
2yz3 M5P
2zm1 KSF
3iej 599
3lnj 12-mer
3lp2 LP9
3ow6 MEX
3pwd CZ0
3shv 10-mer
3uat 18-mer
3zj6 VM2
4bjb P34
4e96 0NS
4izm ASP
4j08 1JH
4jr3 KJR
4jv6 18F
4ps1 5-mer
4v27 2-mer
4y24 TD2
4yqu 4GB
4z2g M6V
4z7h 4L5
4zjw 4P1
5cls 52T
5cy9 E0A
5g6u YJM
5m6f 7HU
5mja 7O3
5mz3 8EN
5n9t 8QQ
5nxi 9DE
5u06 9-mer
5wyx CU8
5wzt 7W6
6aps SV2
6bfw DK7
6bh0 DO1
6biy 13-mer
6c5q EKS
6dar G2J
6e7m RET
6fa2 D2W
6g6y EOK
6g6z EOK
6giu L69
6htt GQZ
6idg 2-mer
6iph DTP
6k4x D0U
6nk1 14-mer
6p14 NKY
2etm 7PY
3ew2 BTN
3g19 3-mer
4yl1 4U8
5aad 5GX
5cav 4ZQ
5fho 5XN
5o11 3NG
5op5 3FE
6b1k C9G
6bbx D77
6ee6 J4P
6hvv GT8
6plf ONV
1bdr IM1
1c5x ESI
1mai I3P
1oiu N76
1zeo C01
2cm7 IZD
2fqw NOS
2iwx M1S
2of2 547
2ony TMJ
2qbs 024
2qp6 MB1
2rcu BUJ
2wf0 ZY0
2wtd ZZK
3dab 15-mer
3ddq RRC
3fhr P4O
3ie3 N11
3lpf Z77
3o75 F1X
3qa2 XNA
3su1 TSV
3ttj JBI
3ws8 X4C
3zhx FM6
4acm 7YG
4ca8 3ES
4ew2 DXY
4h39 10-mer
4h4e 10G
4l2g 1V4
4q6r 30J
4qmz B49
4rrs 3UY
4ttv BC9
4wpn 3ST
5h0e OOS
5h6v 7HS
5l2w 1QK
5n8v KZZ
5o4f 8VE
5t90 18-mer
5wzv 7W0
5y0f 8JO
5y5t 8OR
6ayi C3G
6bgw DKS
6i96 0UE
6mo2 JVM
2jew 720
2xn5 FUN
3wf7 FS9
4b4m JWT
4d8i 5-mer
4mm6 29E
5a6x MFU
5alf OE1
5ejv 444
5fs5 KGM
5ho6 63K
5m0s 7CW
5yhe 8UX
5z66 VDM
6ee4 J4S
1a09 4-mer
1a50 FIP
1b0h 3-mer
1b3g 3-mer
1dfo FFO
1eld 0Z0
1f3e DPZ
1fo3 KIF
1gca GAL
1hp0 AD3
1i7i AZ2
1jq3 AAT
1ke3 BDB
1kf6 HQO
1koj PAN
1lfo OLA
1mwn 12-mer
1nki PPF
1nms 161
1p10 5-mer
1rdt L79
1rek B8L
1unl RRC
1xdd AAY
1xr8 9-mer
1z6q 195
2a5s GLU
2emt 18-mer
2eum 3-mer
2evl 3-mer
2fwy H64
2is0 I03
2j2i LY4
2kup 19-mer
2lcs 16-mer
2lkk OLA
2ow0 6MR
2oxx K22
2py4 DUP
2va7 C27
2x7d EGB
2xx5 13N
3c7n ADP
3eko PYU
3hzk KDA&KDO
3ipb JZD
3k3b L31
3mb7 14I
3mhi J90
3oyl ZZX
3pck NNO
3pgu OLA
3rk7 08Z
3sff 0DI
3t60 DUA
3t64 DU3
3upf 0BU
3zs0 ZS0
4apr 8-mer
4azy 7F3
4bo0 FXE
4ewn 0VR
4f09 JAK
4fns DGJ
4hy0 1AQ
4io2 GLU
4jjs 1M9
4jyc GDP
4jz1 F4D
4k4f K4F
4lh5 LF0
4lkj 3-mer
4m13 1E0
4m14 QWS
4m7b 28C
4mex 9-mer
4mue 2DH
4mw2 2E9
4o1l HO4
4o2p 11V
4os2 14-mer
4pyv 2XF
4qhc 33V
4qta 38Z
4qtb 38Z
4tzm 16-mer
4u5t 3CG
4uit N1D
4uns QZ3
5ar4 SB2
5d75 FK5
5dhj 5E5
5f2s 5TZ
5g17 6DK
5g5v 8Z4
5i5x 68C
5kcx 6S3
5l6j 61T
5lc0 6T8
5mmn O54
5nvv 9BT
5tgc ATP
5v1d 12-mer
5v84 96V
5wys 7V6
5y0g 8JL
5yzd 4-mer
6c8p EQA
6ciy F3J
6d28 NEC
6e13 HKS
6e4w HUG
6ebe J3V
6eda J3V
6f2n CF8
6ftn E78
6fyi EAE
6g5j EM8
6i67 H42
6n9l ADP
6nao 8ZP
6ocq M5J
6p5v O37
6phr SS9
6qgk J1Q
6rfn K3W
6t6a MLW
1w82 L10
2f94 BFQ
4cd5 2-mer
4jrg I09
4og6 2S9
4pvy JD1
5kls 6UC
5odx 9RZ
5op4 A0T
5tt3 EZL
5u2f 82Y
5z89 EGC
5zk7 14-mer
6bvb 19-mer
6c9r ERJ
6ee2 J1V
6ghh TDA
6gi6 EZB
1n4m 18-mer
1ov3 18-mer
1rbp RTL
2f3f AXF
2jdu MFU
2pjl 047
2rt5 8-mer
2vpn 4CS
2w3o 8-mer
2x8i X8I
2xc0 8NC
2xne ASH
2zz6 6AZ
3aqt RCO
3bm9 BXZ
3bxz ADP
3diw 10-mer
3fun 798
3g7l 16-mer
3gst GPR
3kyr 038
3l4v KTL
3l4z SSD
4bb4 32W
4djv 0KM
4dv9 8-mer
4dvi 2IW
4flp JQ1
4h58 10Z
4i73 MBY
4i74 MBY
4lwc 1XU
4o0a 2P9
4q4e BB2
4raq 3L8
4uia FH9
4xv9 1OO
5e1m 6-mer
5fwg GPR
5izk GDP
5j1w 6FB
5ng9 8VN
5o58 2-mer
5tqe 7KQ
5ulg 8E4
5v3y 5V8
5vb7 921
5wa5 4K4
5ya5 6TD
5zhl 9D0
6dge GBG
6etj BWW
6fo5 DZH
6ht8 GQE
6hu1 GT2
6kdi 2-mer
6qr9 JEE
1jld 0PP
1o6h W37
1wvj IBC
1x7q 9-mer
2cma F20
2q8s L92
4a51 DQ8
4kby C2E
4mx0 BCZ
4pum 2WU
4r5b 3J4
4w9h 3JF
5aly B7H
5am6 38O
5gvm G57
5i8p VQ7
5ia0 A5B
5js3 6MG
6oyz NKM
1add 1DA
1r5h AO2
1tmb 5-mer
1usi PHE
2azc 3TL
2p3d 3TL
2pax 4AN
2uzd C85
2vex IZ4
2vj9 VG7
2wxf 039
2x91 LPR
2x9e SVE
2zc9 22U
2zgx 29U
3anq EHB
3dgo ATP
3fh8 27P
3fzy IHP
3heg BAX
3hng 8ST
3m67 E36
3mv5 XFE
3n6k BFH
3oim VZ5
3pdh 18-mer
3pdq KC6
3q6s 19-mer
3r21 D36
3s0n 0BB
3wav DWV
3zm5 IGM
4bo6 36P
4ca6 3EF
4cy1 15-mer
4ew3 DXZ
4f9y LM3
4hwr 1B2
4j0t 6T9
4lg6 17-mer
4lxz SHH
4odn 17-mer
4oyk 19-mer
4p4e 2G4
4rxz 12-mer
4wlb 3QQ
4wmu 19H
4ylk 4E2
4zpf 4QD
5fv7 R3Z
5ih8 6BJ
5j27 6FF
5nk2 8ZZ
5u7m 83G
5uzk 504
5wew A81
5x73 P59
5xsu 8E3
5yr5 OVA
5yu9 1E8
5za9 50I
5zyk 9MC
6ai9 PAZ
6bgv DQG
6di1 GJD
6htz GRK
6i66 H4Q
6i8y 2OD
6md7 JE1
6oko 1FN
6qqz JEB
6uim Q7Y
1cx9 NHP
1h5u CHI
3ekq ROC
3ikd J9Z
4ci2 LVY
4cwt IK9
6fa5 ADP
6faa ADP
6fac ADP
1rw8 580
1w22 NHB
2on6 IMH
3ard 3GH
4b4g KKT
4dce 0JF
4fn5 8-mer
4hlc T05
4jg0 12-mer
4jzf 1NL
4pvx YS1
5jmw L50
5klt 16-mer
5nr8 95N
5q0u 9LP
5wa9 9ZD
6e7x T97
6f9v D0Z
1bkj FMN
1bzh 7-mer
1hk2 T44
1mqd SHI
1ms7 SHI
1o30 693
1o3j 334
1o3k 334
1om1 IQA
1ony 588
1qb1 974
1y19 14-mer
2c1a I5S
2hyy STI
2jdt I5S
2piz 606
2rvn 18-mer
2vo7 M05
2w10 12-mer
2x2m X2M
2xb9 XNW
3evf GTA
3fas GLU
3fvn 9DX
3gjt 5-mer
3ine X17
3m40 J45
3zcz TFR
4cwp TV2
4gj7 0LT
4hlm 16S
4i10 1BS
4j8t DOG
4loi 1YC
4nzo 2OV
4p4f 2GB
4x48 XPF
4x63 3XV
4zup 5XA
5ayt L6Y
5c26 50H
5ecv 5M2
5eue 5S5
5fh8 5XK
5htb 6L5
5jrq 6N9
5khi 6SX
5mi5 OAN
5ngs 8WW
5nvw 9BW
5nvz 9BN
5ugh 8AJ
6g2o EJE
6h0u FKB
6mhb JR7
3fal LO2
3gcu R48
3kyf 5GP
3l9l L9L
4hnp ONK
4kqo JPP
4ui5 BJ4
4wy7 16-mer
5ahu G76
5gvp GCF
5mte BB2
5uzj 8UV
5yh8 8UX
5zaf 28I
6cho F14
6e3s 79A
6ega J8A
6g7a EOQ
6ohu CTX
6sbt L5H
2rcb DSN
3su0 TSV
4i9s RET
4l31 F08
4ogj 2TA
4wkv 3QK
4xnv BUR
5dy5 5GR
5nrf 95Q
5uga 8BM
5ugb 8BM
5y94 8QC
6s4n KUW
1bl6 SB6
1fl3 SPB
1mkd ZAR
1nq7 ARL
1okx 8-mer
1p1n KAI
1ttv IMY
1ung ALH
1y2e 5DE
2ai8 SB7
2i0v 6C3
2n3k 17-mer
2xhm K26
2xm8 B4W
2xnm WGZ
2xu3 XU3
3c4c 324
3c88 5-mer
3d94 D94
3fui 812
3fv8 JK3
3fx6 BPX
3ihz FK5
3kc3 MK2
3mbp 3-mer
3qcq 3Q0
3qn7 17-mer
3s2v 3HU
3sdk P3N
3t03 3T0
3uib SB2
3uvk 11-mer
3zke 11-mer
3zrl ZRL
4aro IHS
4er4 10-mer
4g2f C07
4j0a 1JL
4l7f 1V5
4lkg 3-mer
4qo9 627
4u0s ADP
4wno 3RF
4xt9 43V
4yoz 9-mer
5a83 YD3
5acb 5I1
5c83 4YN
5elv 5PX
5fqt 7QN
5j8m 6DL
5l72 6PF
5nk6 90W
5vlh 14-mer
5wae A1J
5y8c 8P9
6ajj J9E
6bsm E7D
6cve CTP
6dtn 8-mer
6efk 6-mer
6ej4 B7W
6eo9 2OJ
6fvl 6-mer
6htp GQQ
6i62 27N
6np2 SIS
6npv KWP
6qm7 J6E
6rn6 K9Q
2f3e AXQ
2uwp 894
3bc3 OPT
3mo0 E11
4ci3 Y70
4eqf 7-mer
4m48 21B
5cnm 52Q
5etx 5RS
5vo2 9FV
5wlt 86B
5zae EAU
